data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-04-13,202516,16361.0,7008,,2834,0.0,134.10458,0,4,355030820251620201,2025-04-23,,0.89224017,1.220018E+7,17.38792,97.71042,0,0,2,87.04272,68.56864,19.91878,23.63324,1133,,,,,48465
2025-04-06,202515,18393.5,15142,,12699,0.99321777,150.76418,0,4,355030820251520201,2025-04-23,,1.0262469,1.220018E+7,16.2822714285714,95.6212428571429,0,1,2,84.7011285714286,67.5901571428571,19.0208142857143,22.7588285714286,3965,,,,,48465
2025-03-30,202514,19097.5,17699,,16354,1.0,156.53458,0,4,355030820251420201,2025-04-23,,1.130847,1.220018E+7,18.7978428571429,97.0881285714286,1,1,2,87.2922857142857,69.3881142857143,21.4425571428571,24.9558857142857,5174,,,,,48465
2025-03-23,202513,18100.5,17356,,16578,1.0,148.36256,0,4,355030820251320201,2025-04-23,,1.1665264,1.220018E+7,18.5278285714286,98.4427285714286,1,1,2,86.8899142857143,67.6998428571429,21.5942428571429,25.6350857142857,5097,,,,,48465
